nilai_tes_mtk,nilai_tes_ipa,nilai_tes_agama,nilai_tes_bindo,hasil_mining
C,C,C,C,REGULER
B,B,C,B,CI
A,C,B,B,CI
C,C,B,B,CI
D,D,D,D,REGULER
A,A,A,A,CI
B,B,B,A,CI
A,B,A,A,CI
A,C,B,B,CI
B,B,B,B,CI
D,C,B,C,REGULER
C,B,B,B,CI
E,B,C,C,REGULER
E,B,B,A,CI
C,B,C,B,CI
A,B,B,B,CI
D,E,B,C,REGULER
C,B,C,B,CI
D,C,C,C,REGULER
D,C,C,C,REGULER
B,B,B,C,CI
B,B,C,B,CI
E,D,D,E,REGULER
D,C,C,C,REGULER
A,A,A,A,CI
B,B,B,C,CI
A,A,A,B,CI
A,A,A,A,CI
A,A,A,A,CI
C,B,B,A,CI
C,D,D,D,REGULER
C,C,D,C,REGULER
E,D,C,B,REGULER
B,B,B,B,CI
C,B,B,B,CI
C,C,D,C,REGULER
B,B,B,B,CI
D,C,B,D,REGULER
B,C,C,B,CI
D,D,C,D,REGULER
B,B,D,B,CI
B,B,B,C,CI
B,B,B,A,CI
C,B,C,B,CI
C,B,C,B,REGULER
C,B,A,B,CI
D,B,B,E,REGULER
B,C,B,B,CI
C,D,E,B,REGULER
B,B,B,B,CI
B,B,A,B,CI
B,C,B,B,CI
C,B,B,B,CI
A,A,A,A,CI
D,B,B,B,REGULER
B,B,B,C,CI
C,D,D,C,REGULER
B,C,B,A,CI
B,C,E,D,REGULER
A,A,A,B,CI
B,A,A,B,CI
C,B,C,B,CI
D,D,D,D,REGULER
C,C,C,C,REGULER
A,A,A,B,CI
B,B,B,B,CI
C,B,C,B,CI
A,B,A,A,CI
B,A,A,B,CI
B,B,B,B,CI
B,B,B,C,CI
C,C,D,C,REGULER
B,C,B,B,CI
D,D,D,D,REGULER
A,B,A,B,CI
D,C,C,C,REGULER
D,D,C,D,REGULER
A,A,A,A,CI
B,C,B,B,CI
C,B,B,B,CI
A,A,A,A,CI
D,E,D,D,REGULER
C,C,B,D,REGULER
B,C,B,B,CI
D,C,D,D,REGULER
B,B,A,B,CI
B,B,B,B,CI
B,C,C,C,REGULER
D,D,D,E,REGULER
B,C,C,B,CI
D,C,C,C,REGULER
B,B,C,C,CI
C,D,B,C,REGULER
B,B,A,B,CI
A,B,A,A,CI
B,A,A,A,CI
D,E,C,A,REGULER
A,A,A,A,CI
B,B,B,B,CI
A,A,A,A,CI
B,B,B,B,CI
C,B,B,B,CI
A,A,B,B,CI
B,B,B,C,CI
B,C,C,B,CI
C,B,B,B,CI
B,A,A,A,CI
D,C,C,C,REGULER
D,C,C,C,REGULER
B,C,C,B,CI
D,A,D,C,REGULER
A,A,A,B,CI
D,D,D,D,REGULER
C,B,D,D,REGULER
B,B,B,B,CI
C,B,B,C,REGULER
C,C,B,B,CI
B,B,B,B,CI
B,B,C,C,CI
C,C,D,C,REGULER
C,C,B,C,REGULER
B,B,B,B,CI
C,C,C,C,REGULER
B,B,C,B,CI
A,A,A,A,CI
D,C,D,C,REGULER
C,C,D,C,REGULER
D,C,B,C,REGULER
A,B,A,A,CI
A,B,A,A,CI
D,D,D,D,REGULER
D,C,C,C,REGULER
D,C,C,C,REGULER
C,C,B,B,CI
D,D,D,D,REGULER
C,C,B,D,REGULER
B,B,C,B,CI
B,B,B,C,CI
C,C,C,C,REGULER
D,C,D,B,REGULER
C,D,A,B,CI
C,C,D,C,REGULER
B,C,B,B,CI
D,B,E,C,REGULER
A,B,A,A,CI
A,A,A,B,CI
B,B,C,B,CI
B,B,A,B,CI
D,D,A,C,REGULER
D,E,C,D,REGULER
C,D,D,B,REGULER
C,C,C,B,REGULER
D,D,D,D,REGULER
B,C,D,C,REGULER
B,C,C,B,REGULER
A,A,A,B,CI
B,B,C,B,CI
D,D,D,D,REGULER
B,A,A,A,CI
B,C,B,B,CI
C,C,B,B,CI
C,C,B,B,CI
A,B,A,A,CI
B,B,B,A,CI
D,D,C,A,REGULER
B,B,B,C,CI
A,A,A,B,CI
A,D,C,E,REGULER
B,B,B,A,CI
B,A,B,B,CI
B,B,A,B,CI
A,A,A,A,CI
B,A,B,B,CI
B,B,C,B,CI
C,C,C,C,REGULER
B,B,A,A,CI
B,B,B,C,CI
C,D,D,D,REGULER
E,D,C,D,REGULER
D,E,D,D,REGULER
B,B,C,C,CI
B,A,A,A,CI
B,C,B,B,CI
C,C,C,E,REGULER
B,B,B,C,CI
B,C,C,C,REGULER
C,C,D,C,REGULER
C,B,B,B,CI
A,A,A,A,CI
B,C,B,B,CI
B,A,A,A,CI
B,A,A,A,CI
B,A,A,A,CI
A,A,A,A,CI
B,C,D,C,REGULER
B,A,A,B,CI
C,C,C,B,REGULER
C,B,B,B,CI
D,B,C,C,REGULER
C,B,A,B,CI
A,B,A,A,CI
B,B,B,C,CI
C,D,B,D,REGULER
D,D,D,E,REGULER
C,C,C,C,REGULER
B,A,A,A,CI
A,B,A,A,CI
C,C,C,C,REGULER
A,B,A,A,CI
A,B,A,A,CI
C,B,B,B,CI
D,B,C,B,REGULER
B,B,B,B,CI
B,B,B,B,CI
A,A,A,A,CI
B,A,B,C,CI
D,C,B,C,REGULER
C,C,C,C,REGULER
A,A,A,A,CI
B,B,A,A,CI
B,B,B,B,CI
D,C,B,B,REGULER
C,B,B,B,CI
C,B,B,B,CI
B,C,B,B,CI
D,C,C,C,REGULER
C,B,B,B,CI
E,B,B,C,REGULER
B,C,C,B,CI
C,B,B,B,CI
B,A,A,A,CI
C,C,C,C,REGULER
D,D,E,D,REGULER
C,C,C,C,REGULER
A,A,A,A,CI
D,C,C,A,CI
B,C,B,B,CI
D,E,D,D,REGULER
A,A,A,A,CI
A,B,B,E,CI
C,C,C,D,REGULER
C,B,C,B,REGULER
D,B,B,B,CI
B,C,C,B,CI
B,B,B,C,CI
A,A,A,B,CI
C,B,B,D,CI
B,B,B,B,CI
D,E,B,D,REGULER
C,B,B,B,CI
A,A,A,A,CI
A,B,B,B,CI
D,B,B,B,CI
B,B,B,C,CI
B,C,B,B,CI
B,B,B,B,CI
A,A,A,B,CI
E,C,B,C,REGULER
B,B,B,C,CI
B,C,C,C,REGULER
B,B,A,B,CI
B,C,B,B,CI
C,C,B,B,CI
B,B,B,B,CI
C,B,C,A,REGULER
C,C,D,C,REGULER
B,C,B,B,CI
A,A,A,A,CI
C,C,E,D,REGULER
B,B,C,C,CI
A,A,A,B,CI
B,B,B,C,CI
B,A,A,A,CI
B,B,A,C,CI
D,C,C,C,REGULER
D,D,C,C,REGULER
A,A,A,A,CI
B,B,A,B,CI
E,D,D,C,REGULER
B,C,B,B,CI
B,B,C,B,CI
B,B,B,B,CI
C,B,B,B,CI
B,C,A,B,CI
C,C,C,C,REGULER
B,C,B,B,CI
A,B,B,C,CI
B,B,C,B,CI
C,C,B,C,CI
B,B,A,B,CI
A,A,A,A,CI
